id,course_id,order,name,description
1,1,1,イントロダクション,独学サーバーサイドのコースへようこそ！最初に、コースを受講するとできるようになることと、コースの進め方について学びます。
2,1,2,アプリケーションの作り方,アプリケーションの作り方を学びます。プログラミングの文法とアプリケーションの作り方は別物で、アプリケーションの作り方を習得しないとプログラムでモノは作れるようになりません。個別の技術知識を学ぶ前に、実際に作りながらアプリケーションの作り方を学んでいきましょう。
3,1,3,PHPとオブジェクト指向,PHPとオブジェクト指向の基本を習得します。デバッグの方法といった、エラーのときにどう対処すればよいかも学びます。同時にコードをたくさん書き、プログラミングに慣れることを狙います。
4,1,4,お役立ちスキル：Linuxコマンドライン,Linuxの必須コマンドを手を動かしながら習得します。今後の開発がスムーズにできるよう、ターミナルの操作とLinuxの操作ができるようになります。
5,1,5,データベースとSQL,リレーショナルデータベースの概念を学び、基本的な設計方針を身に付けます。またSQLを使い、PHPからデータが操作できるようになります。
6,1,6,お役立ちスキル：Git,Gitの基本コマンド、ブランチやマージ、コンフリクトの解消方法、GitHubを利用した開発フローなど、チーム開発に必要なGitの基本を学びます。コードがバージョン管理できるようになることに加え、チーム開発の現場でGitが使いこなせるようになります。
7,1,7,一からWEBアプリケーション,素のPHPを使用してWEBアプリケーションを一から作成します。フルスクラッチで作ることで、WEBアプリケーションの仕組みを理解し、自分でWEBアプリケーションが作れるようになります。
8,1,8,お役立ちスキル：読みやすいコード,理解しやすいコードを書く方法を学びます。名前の付け方やコメントの書き方、コードをわかりやすくするベストプラクティスを学習し、コードが読みやすくなるようにします。
9,1,9,フレームワーク,PHPフレームワークのLaravelを利用して、求人サービスを作成します。現場で実際に使われるような細かい機能が実装できるようになります。また、テストについても学びます。
10,1,10,インフラ・運用,AWSでネットワーク・サーバーを構築します。また、監視やアラートの設定といった、インフラの運用に関する知識も学びます。
11,1,11,認定試験,実務レベルのサービスを構築し、リリースまで行います。実務水準の技術力の取得を目指すとともに、就職・転職時に活用できるポートフォリオができます。
